site_code,eqr,eqc
LTR1301_2013,0.8571,High
LTR1301_2014,0.76,Good
LTR1301_2015,0.95,High
LTR1301_2016,0.78,Good
LTR1301_2017,0.94,High
LTR1301_2020,0.59,Moderate
LTR1302_2013,0.7143,High
LTR1302_2015,0.57,Good
LTR1302_2019,0.44,Moderate
LTR1303_2012,,
LTR1303_2015,0.72,Good
LTR1303_2019,0.63,Good
LTR1304_2012,,
LTR1304_2015,0.77,Good
LTR1304_2022,0.53,Moderate
LTR1306_2012,,
LTR1306_2014,0.57,Moderate
LTR1306_2021,0.47,Moderate
LTR1311_2010,,
LTR1311_2013,0.7143,Good
LTR1311_2016,0.54,Good
LTR1311_2019,0.52,Good
LTR1311_2022,0.52,Moderate
LTR1312_2012,,
LTR1312_2015,0.83,High
LTR1312_2018,0.69,Good
LTR1312_2021,0.81,High
LTR1314_2012,,
LTR1314_2015,0.73,High
LTR1314_2019,0.59,Good
LTR1314_2023,,
LTR1318_2011,,
LTR1318_2014,0.8,High
LTR1318_2018,0.64,Good
LTR1318_2021,0.83,High
LTR1319_2010,,
LTR1319_2011,,
LTR1319_2012,,
LTR1319_2013,0.8571,High
LTR1319_2014,0.7,Good
LTR1319_2015,0.88,High
LTR1319_2016,0.69,Good
LTR1319_2017,0.77,Good
LTR1319_2020,0.74,Good
LTR1319_2023,,
LTR1320_2010,,
LTR1320_2013,1,High
LTR1320_2016,1,High
LTR1320_2019,0.76,Good
LTR1320_2022,0.99,High
LTR1322_2010,,
LTR1322_2013,0.7143,Good
LTR1322_2015,0.93,High
LTR1322_2018,0.99,High
LTR1322_2021,0.82,High
LTR1324_2016,0.49,Moderate
LTR1324_2019,0.46,Moderate
LTR1324_2022,0.5,Moderate
LTR1329_2011,,
LTR1329_2015,0.47,Moderate
LTR133_2010,,
LTR133_2011,,
LTR133_2013,0.5714,Moderate
LTR133_2014,0.69,Good
LTR133_2015,0.91,High
LTR133_2016,0.52,Moderate
LTR133_2017,0.59,Moderate
LTR133_2020,0.54,Moderate
LTR1331_2016,0.49,Moderate
LTR1331_2020,0.47,Moderate
LTR1333_2011,,
LTR1334_2016,0.42,Moderate
LTR1334_2019,0.51,Good
LTR1335_2015,0.58,Moderate
LTR1335_2019,0.52,Moderate
LTR1336_2016,0.48,Moderate
LTR1336_2020,0.57,Moderate
LTR1339_2014,0.89,High
LTR1339_2022,0.55,Moderate
LTR1341_2013,0.5714,Moderate
LTR1342_2012,,
LTR1342_2015,0.57,Moderate
LTR1343_2011,,
LTR1343_2014,0.83,High
LTR1343_2020,0.57,Moderate
LTR1344_2011,,
LTR1344_2014,0.75,Good
LTR1344_2020,0.58,Good
LTR1347_2015,0.8,High
LTR1347_2019,0.54,Moderate
LTR1348_2010,,
LTR1348_2011,,
LTR1348_2013,0.8571,High
LTR1348_2014,0.79,Good
LTR1348_2015,0.92,High
LTR1348_2016,0.57,Moderate
LTR1348_2017,0.76,Good
LTR1348_2020,0.67,Good
LTR1349_2017,0.57,Moderate
LTR1349_2022,0.58,Moderate
LTR1352_2020,0.62,Good
LTR1353_2011,,
LTR1353_2020,0.7,Good
LTR1355_2012,,
LTR1355_2015,0.76,High
LTR1355_2019,0.53,Good
LTR1355_2022,0.73,High
LTR1356_2011,,
LTR1356_2014,0.44,Moderate
LTR1356_2020,0.62,Good
LTR1358_2011,,
LTR1358_2014,0.46,Moderate
LTR1358_2018,0.41,Moderate
LTR1358_2022,0.51,Good
LTR136_2011,,
LTR136_2013,0.4286,Moderate
LTR136_2014,0.49,Moderate
LTR136_2015,0.53,Good
LTR136_2016,0.48,Moderate
LTR136_2017,0.5,Good
LTR136_2019,0.44,Moderate
LTR136_2022,0.51,Good
LTR1367_2011,,
LTR1367_2016,0.41,Moderate
LTR1367_2019,0.5,Good
LTR1367_2022,0.39,Moderate
LTR1368_2011,,
LTR1368_2014,0.41,Moderate
LTR1368_2018,0.37,Poor
LTR1369_2011,,
LTR1369_2014,0.61,Good
LTR1369_2020,0.61,Good
LTR137_2010,,
LTR137_2011,,
LTR137_2012,,
LTR137_2013,0.8571,High
LTR137_2014,0.59,Moderate
LTR137_2015,0.63,Good
LTR137_2016,0.86,High
LTR137_2017,0.71,Good
LTR137_2020,0.59,Moderate
LTR1370_2011,,
LTR1370_2014,0.31,Poor
LTR1370_2020,0.63,Good
LTR1374_2011,,
LTR1374_2014,0.72,Good
LTR1376_2011,,
LTR1376_2014,0.7,Good
LTR1376_2020,0.73,Good
LTR1377_2011,,
LTR1377_2014,0.42,Moderate
LTR1377_2020,0.57,Moderate
LTR1378_2011,,
LTR1378_2014,0.53,Moderate
LTR1378_2019,0.7,Good
LTR1378_2022,0.67,Good
LTR1379_2013,1,High
LTR1379_2015,0.92,High
LTR1379_2019,0.72,Good
LTR1379_2022,0.79,Good
LTR138_2014,0.31,Poor
LTR138_2015,0.43,Moderate
LTR1380_2011,,
LTR1380_2014,0.48,Moderate
LTR1380_2018,0.79,Good
LTR1380_2021,0.55,Moderate
LTR1382_2016,0.82,High
LTR1382_2021,0.86,High
LTR1385_2012,,
LTR1385_2016,0.81,High
LTR1385_2019,0.73,Good
LTR1385_2022,0.75,Good
LTR1388_2013,0.4286,Poor
LTR1388_2016,0.52,Moderate
LTR1388_2019,0.54,Moderate
LTR1390_2016,0.54,Good
LTR1390_2019,0.29,Poor
LTR1391_2013,0.1429,Bad
LTR1391_2016,0.49,Moderate
LTR1391_2019,0.56,Good
LTR1394_2016,0.53,Moderate
LTR1394_2020,0.46,Moderate
LTR1395_2012,,
LTR1395_2015,0.54,Good
LTR1395_2018,0.67,Good
LTR1395_2021,0.53,Good
LTR1397_2012,,
LTR1397_2016,0.28,Poor
LTR1397_2019,0.25,Poor
LTR1397_2022,0.26,Poor
LTR1398_2011,,
LTR1398_2014,0.69,Good
LTR1398_2018,0.64,Good
LTR1398_2021,0.52,Moderate
LTR1400_2011,,
LTR1400_2014,0.38,Moderate
LTR1400_2018,0.39,Moderate
LTR1400_2021,0.31,Poor
LTR1403_2017,0.78,Good
LTR1404_2011,,
LTR1404_2014,0.58,Moderate
LTR1404_2019,0.53,Moderate
LTR1413_2014,0.78,Good
LTR1418_2015,1,High
LTR1418_2019,0.75,Good
LTR1419_2013,0.7143,Good
LTR1420_2017,0.59,Moderate
LTR1420_2022,0.89,High
LTR1428_2012,,
LTR1428_2016,0.68,Good
LTR1430_2012,,
LTR1433_2010,,
LTR1433_2014,0.84,High
LTR1433_2021,0.69,Good
LTR1438_2010,,
LTR1438_2011,,
LTR1438_2013,1,High
LTR1438_2014,0.95,High
LTR1438_2015,0.99,High
LTR1438_2016,0.92,High
LTR1438_2017,0.78,Good
LTR1438_2020,0.91,High
LTR1442_2016,0.6,Good
LTR1442_2019,0.64,Good
LTR1444_2010,,
LTR1444_2013,0.4286,Poor
LTR1445_2016,0.64,Good
LTR1445_2019,0.57,Good
LTR1447_2011,,
LTR1447_2015,0.69,Good
LTR1447_2019,0.55,Moderate
LTR1447_2022,0.78,Good
LTR1449_2015,0.69,Good
LTR1449_2019,0.69,Good
LTR1449_2022,0.86,High
LTR1450_2017,0.77,Good
LTR1450_2021,0.54,Moderate
LTR1451_2013,0.8571,High
LTR1451_2016,0.43,Moderate
LTR1451_2021,0.55,Moderate
LTR1453_2012,,
LTR1453_2016,0.63,Good
LTR1453_2021,0.68,Good
LTR1455_2014,0.5,Moderate
LTR1455_2020,0.48,Moderate
LTR1457_2010,,
LTR1457_2021,0.48,Moderate
LTR1458_2011,,
LTR1458_2014,0.9,High
LTR1458_2021,0.76,Good
LTR1459_2010,,
LTR1459_2013,0.5714,Moderate
LTR1459_2016,0.94,High
LTR1459_2019,0.76,Good
LTR1459_2022,0.81,High
LTR1460_2010,,
LTR1460_2013,0.4286,Poor
LTR1461_2010,,
LTR1461_2013,0.8571,High
LTR1461_2016,0.64,Good
LTR1461_2019,0.66,Good
LTR1461_2022,0.54,Moderate
LTR1462_2010,,
LTR1462_2011,,
LTR1462_2012,,
LTR1462_2013,0.8571,High
LTR1462_2014,0.74,Good
LTR1462_2015,0.77,Good
LTR1462_2016,0.56,Moderate
LTR1462_2017,0.57,Moderate
LTR1462_2020,0.62,Good
LTR1462_2023,,
LTR1463_2010,,
LTR1463_2012,,
